GUID 0245254cc9274a6bad0f2251f8b0dc16

Type Supply
ID 65128

Blueprints 6

//mili barrel

Blueprint_0_Type Gear
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 285
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 72
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Product 149
Blueprint_0_Products 1
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

//mili muzzle

Blueprint_1_Type Gear
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 285
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Supply_1_ID 72
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Tool 76
Blueprint_1_Product 16312
Blueprint_1_Products 1
Blueprint_1_Level 2
Blueprint_1_Skill Craft
Blueprint_1_Build 27

//mili suppressor

Blueprint_2_Type Gear
Blueprint_2_Supplies 4
Blueprint_2_Supply_0_ID 477
Blueprint_2_Supply_0_Amount 2
Blueprint_2_Supply_1_ID 72
Blueprint_2_Supply_1_Amount 1
Blueprint_2_Supply_2_ID 66
Blueprint_2_Supply_2_Amount 2
Blueprint_2_Supply_3_ID 65
Blueprint_2_Supply_3_Amount 1
Blueprint_2_Tool 76
Blueprint_2_Product 16313
Blueprint_2_Products 1
Blueprint_2_Level 3
Blueprint_2_Skill Craft
Blueprint_2_Build 27

//ranger barrel

Blueprint_3_Type Gear
Blueprint_3_Supplies 2
Blueprint_3_Supply_0_ID 285
Blueprint_3_Supply_0_Amount 2
Blueprint_3_Supply_1_ID 72
Blueprint_3_Supply_1_Amount 2
Blueprint_3_Tool 76
Blueprint_3_Product 1191
Blueprint_3_Products 1
Blueprint_3_Level 2
Blueprint_3_Skill Craft
Blueprint_3_Build 27

//ranger muzzle

Blueprint_4_Type Gear
Blueprint_4_Supplies 2
Blueprint_4_Supply_0_ID 285
Blueprint_4_Supply_0_Amount 2
Blueprint_4_Supply_1_ID 72
Blueprint_4_Supply_1_Amount 1
Blueprint_4_Tool 76
Blueprint_4_Product 16314
Blueprint_4_Products 1
Blueprint_4_Level 2
Blueprint_4_Skill Craft
Blueprint_4_Build 27

//ranger suppressor

Blueprint_5_Type Gear
Blueprint_5_Supplies 4
Blueprint_5_Supply_0_ID 477
Blueprint_5_Supply_0_Amount 2
Blueprint_5_Supply_1_ID 72
Blueprint_5_Supply_1_Amount 1
Blueprint_5_Supply_2_ID 66
Blueprint_5_Supply_2_Amount 2
Blueprint_5_Supply_3_ID 65
Blueprint_5_Supply_3_Amount 1
Blueprint_5_Tool 76
Blueprint_5_Product 16315
Blueprint_5_Products 1
Blueprint_5_Level 3
Blueprint_5_Skill Craft
Blueprint_5_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Alicepack
Exclude_From_Master_Bundle
