GUID 47e8cee4d688418b986ffbe5e59d679b

Type Supply
ID 65132

Blueprints 9

//kobra

Blueprint_0_Type Gear
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 276
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 259
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Product 16298
Blueprint_0_Products 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

//holo

Blueprint_1_Type Gear
Blueprint_1_Supplies 3
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Supply_1_ID 276
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Supply_2_ID 259
Blueprint_1_Supply_2_Amount 1
Blueprint_1_Tool 76
Blueprint_1_Product 16299
Blueprint_1_Products 1
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

//dot

Blueprint_2_Type Gear
Blueprint_2_Supplies 3
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 3
Blueprint_2_Supply_1_ID 276
Blueprint_2_Supply_1_Amount 1
Blueprint_2_Supply_2_ID 259
Blueprint_2_Supply_2_Amount 1
Blueprint_2_Tool 76
Blueprint_2_Product 16297
Blueprint_2_Products 1
Blueprint_2_Level 1
Blueprint_2_Skill Craft
Blueprint_2_Build 27

//cross

Blueprint_3_Type Gear
Blueprint_3_Supplies 5
Blueprint_3_Supply_0_ID 67
Blueprint_3_Supply_0_Amount 2
Blueprint_3_Supply_1_ID 72
Blueprint_3_Supply_1_Amount 1
Blueprint_3_Supply_2_ID 476
Blueprint_3_Supply_2_Amount 1
Blueprint_3_Supply_3_ID 276
Blueprint_3_Supply_3_Amount 1
Blueprint_3_Supply_4_ID 259
Blueprint_3_Supply_4_Amount 1
Blueprint_3_Tool 76
Blueprint_3_Product 16300
Blueprint_3_Products 1
Blueprint_3_Level 1
Blueprint_3_Skill Craft
Blueprint_3_Build 27

//chevron

Blueprint_4_Type Gear
Blueprint_4_Supplies 5
Blueprint_4_Supply_0_ID 67
Blueprint_4_Supply_0_Amount 2
Blueprint_4_Supply_1_ID 72
Blueprint_4_Supply_1_Amount 1
Blueprint_4_Supply_2_ID 476
Blueprint_4_Supply_2_Amount 1
Blueprint_4_Supply_3_ID 276
Blueprint_4_Supply_3_Amount 1
Blueprint_4_Supply_4_ID 259
Blueprint_4_Supply_4_Amount 1
Blueprint_4_Tool 76
Blueprint_4_Product 16301
Blueprint_4_Products 1
Blueprint_4_Level 1
Blueprint_4_Skill Craft
Blueprint_4_Build 27

//8x

Blueprint_5_Type Gear
Blueprint_5_Supplies 3
Blueprint_5_Supply_0_ID 285
Blueprint_5_Supply_0_Amount 2
Blueprint_5_Supply_1_ID 72
Blueprint_5_Supply_1_Amount 2
Blueprint_5_Supply_2_ID 476
Blueprint_5_Supply_2_Amount 1
Blueprint_5_Tool 76
Blueprint_5_Product 16303
Blueprint_5_Products 1
Blueprint_5_Level 2
Blueprint_5_Skill Craft
Blueprint_5_Build 27

//7x

Blueprint_6_Type Gear
Blueprint_6_Supplies 3
Blueprint_6_Supply_0_ID 285
Blueprint_6_Supply_0_Amount 2
Blueprint_6_Supply_1_ID 72
Blueprint_6_Supply_1_Amount 2
Blueprint_6_Supply_2_ID 476
Blueprint_6_Supply_2_Amount 1
Blueprint_6_Tool 76
Blueprint_6_Product 16302
Blueprint_6_Products 1
Blueprint_6_Level 2
Blueprint_6_Skill Craft
Blueprint_6_Build 27

//16x

Blueprint_7_Type Gear
Blueprint_7_Supplies 4
Blueprint_7_Supply_0_ID 285
Blueprint_7_Supply_0_Amount 2
Blueprint_7_Supply_1_ID 67
Blueprint_7_Supply_1_Amount 2
Blueprint_7_Supply_2_ID 72
Blueprint_7_Supply_2_Amount 2
Blueprint_7_Supply_3_ID 476
Blueprint_7_Supply_3_Amount 3
Blueprint_7_Tool 76
Blueprint_7_Product 16304
Blueprint_7_Products 1
Blueprint_7_Level 3
Blueprint_7_Skill Craft
Blueprint_7_Build 27

//nv scope

Blueprint_8_Type Gear
Blueprint_8_Supplies 9
Blueprint_8_Supply_0_ID 285
Blueprint_8_Supply_0_Amount 2
Blueprint_8_Supply_1_ID 67
Blueprint_8_Supply_1_Amount 2
Blueprint_8_Supply_2_ID 72
Blueprint_8_Supply_2_Amount 2
Blueprint_8_Supply_3_ID 65
Blueprint_8_Supply_3_Amount 1
Blueprint_8_Supply_4_ID 476
Blueprint_8_Supply_4_Amount 1
Blueprint_8_Supply_5_ID 276
Blueprint_8_Supply_5_Amount 1
Blueprint_8_Supply_6_ID 1176
Blueprint_8_Supply_6_Amount 1
Blueprint_8_Supply_7_ID 1008
Blueprint_8_Supply_7_Amount 1
Blueprint_8_Supply_8_ID 256
Blueprint_8_Supply_8_Amount 1
Blueprint_8_Tool 76
Blueprint_8_Product 16305
Blueprint_8_Products 1
Blueprint_8_Level 3
Blueprint_8_Skill Craft
Blueprint_8_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Alicepack
Exclude_From_Master_Bundle
