GUID 2d15c31232bf4c5ba5af8034f9026a04

Type Supply
ID 63510

Blueprints 35

//军用弹鼓
Blueprint_0_Type Gear
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 1055
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 16236
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 73
Blueprint_0_Supply_2_Amount 3
Blueprint_0_Tool 63522
Blueprint_0_Product 16367
Blueprint_0_Products 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

//战斗弹鼓
Blueprint_1_Type Gear
Blueprint_1_Supplies 3
Blueprint_1_Supply_0_ID 1055
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Supply_1_ID 16346
Blueprint_1_Supply_1_Amount 2
Blueprint_1_Supply_2_ID 73
Blueprint_1_Supply_2_Amount 5
Blueprint_1_Tool 63522
Blueprint_1_Product 16368
Blueprint_1_Products 1
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

//俄弹鼓
Blueprint_2_Type Gear
Blueprint_2_Supplies 3
Blueprint_2_Supply_0_ID 1055
Blueprint_2_Supply_0_Amount 2
Blueprint_2_Supply_1_ID 16248
Blueprint_2_Supply_1_Amount 2
Blueprint_2_Supply_2_ID 73
Blueprint_2_Supply_2_Amount 3
Blueprint_2_Tool 63522
Blueprint_2_Product 16366
Blueprint_2_Products 1
Blueprint_2_Level 1
Blueprint_2_Skill Craft
Blueprint_2_Build 27

//几个机枪的弹盒
Blueprint_3_Type Gear
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 1055
Blueprint_3_Supply_0_Amount 3
Blueprint_3_Tool 63522
Blueprint_3_Product 16283
Blueprint_3_Products 1
Blueprint_3_Level 1
Blueprint_3_Skill Craft
Blueprint_3_Build 27

Blueprint_4_Type Gear
Blueprint_4_Supplies 1
Blueprint_4_Supply_0_ID 1055
Blueprint_4_Supply_0_Amount 3
Blueprint_4_Tool 63522
Blueprint_4_Product 16554
Blueprint_4_Products 1
Blueprint_4_Level 1
Blueprint_4_Skill Craft
Blueprint_4_Build 27

Blueprint_5_Type Gear
Blueprint_5_Supplies 1
Blueprint_5_Supply_0_ID 1055
Blueprint_5_Supply_0_Amount 3
Blueprint_5_Tool 63522
Blueprint_5_Product 16280
Blueprint_5_Products 1
Blueprint_5_Level 1
Blueprint_5_Skill Craft
Blueprint_5_Build 27

Blueprint_6_Type Gear
Blueprint_6_Supplies 1
Blueprint_6_Supply_0_ID 1055
Blueprint_6_Supply_0_Amount 2
Blueprint_6_Tool 63522
Blueprint_6_Product 16363
Blueprint_6_Products 1
Blueprint_6_Level 1
Blueprint_6_Skill Craft
Blueprint_6_Build 27

// 二战食物

Blueprint_7_Type Gear
Blueprint_7_Supplies 1
Blueprint_7_Supply_0_ID 1055
Blueprint_7_Supply_0_Amount 1
Blueprint_7_Tool 63522
Blueprint_7_Product 31270
Blueprint_7_Products 1
Blueprint_7_Level 1
Blueprint_7_Skill Craft
Blueprint_7_Build 27

Blueprint_8_Type Gear
Blueprint_8_Supplies 1
Blueprint_8_Supply_0_ID 1055
Blueprint_8_Supply_0_Amount 1
Blueprint_8_Tool 63522
Blueprint_8_Product 31285
Blueprint_8_Products 1
Blueprint_8_Level 1
Blueprint_8_Skill Craft
Blueprint_8_Build 27

Blueprint_9_Type Gear
Blueprint_9_Supplies 1
Blueprint_9_Supply_0_ID 1055
Blueprint_9_Supply_0_Amount 1
Blueprint_9_Tool 63522
Blueprint_9_Product 31370
Blueprint_9_Products 1
Blueprint_9_Level 1
Blueprint_9_Skill Craft
Blueprint_9_Build 27

Blueprint_10_Type Gear
Blueprint_10_Supplies 1
Blueprint_10_Supply_0_ID 1055
Blueprint_10_Supply_0_Amount 1
Blueprint_10_Tool 63522
Blueprint_10_Product 31470
Blueprint_10_Products 1
Blueprint_10_Level 1
Blueprint_10_Skill Craft
Blueprint_10_Build 27

Blueprint_11_Type Gear
Blueprint_11_Supplies 1
Blueprint_11_Supply_0_ID 1055
Blueprint_11_Supply_0_Amount 1
Blueprint_11_Tool 63522
Blueprint_11_Product 31471
Blueprint_11_Products 1
Blueprint_11_Level 1
Blueprint_11_Skill Craft
Blueprint_11_Build 27

Blueprint_12_Type Gear
Blueprint_12_Supplies 1
Blueprint_12_Supply_0_ID 1055
Blueprint_12_Supply_0_Amount 1
Blueprint_12_Tool 63522
Blueprint_12_Product 31472
Blueprint_12_Products 1
Blueprint_12_Level 1
Blueprint_12_Skill Craft
Blueprint_12_Build 27

// 二战野战厨房

Blueprint_13_Type Gear
Blueprint_13_Supplies 1
Blueprint_13_Supply_0_ID 1055
Blueprint_13_Supply_0_Amount 5
Blueprint_13_Tool 63522
Blueprint_13_Product 31172
Blueprint_13_Products 1
Blueprint_13_Level 1
Blueprint_13_Skill Craft
Blueprint_13_Build 27

Blueprint_14_Type Gear
Blueprint_14_Supplies 1
Blueprint_14_Supply_0_ID 1055
Blueprint_14_Supply_0_Amount 5
Blueprint_14_Tool 63522
Blueprint_14_Product 31174
Blueprint_14_Products 1
Blueprint_14_Level 1
Blueprint_14_Skill Craft
Blueprint_14_Build 27

Blueprint_15_Type Gear
Blueprint_15_Supplies 1
Blueprint_15_Supply_0_ID 1055
Blueprint_15_Supply_0_Amount 3
Blueprint_15_Tool 63522
Blueprint_15_Product 31173
Blueprint_15_Products 1
Blueprint_15_Level 1
Blueprint_15_Skill Craft
Blueprint_15_Build 27

Blueprint_16_Type Gear
Blueprint_16_Supplies 1
Blueprint_16_Supply_0_ID 1055
Blueprint_16_Supply_0_Amount 3
Blueprint_16_Tool 63522
Blueprint_16_Product 31175
Blueprint_16_Products 1
Blueprint_16_Level 1
Blueprint_16_Skill Craft
Blueprint_16_Build 27

Blueprint_17_Type Gear
Blueprint_17_Supplies 1
Blueprint_17_Supply_0_ID 1055
Blueprint_17_Supply_0_Amount 2
Blueprint_17_Tool 63522
Blueprint_17_Product 31170
Blueprint_17_Products 1
Blueprint_17_Level 1
Blueprint_17_Skill Craft
Blueprint_17_Build 27

Blueprint_18_Type Gear
Blueprint_18_Supplies 1
Blueprint_18_Supply_0_ID 1055
Blueprint_18_Supply_0_Amount 2
Blueprint_18_Tool 63522
Blueprint_18_Product 31171
Blueprint_18_Products 1
Blueprint_18_Level 1
Blueprint_18_Skill Craft
Blueprint_18_Build 27

// 稀有品购买

Blueprint_19_Type Gear
Blueprint_19_Supplies 1
Blueprint_19_Supply_0_ID 1055
Blueprint_19_Supply_0_Amount 3
Blueprint_19_Tool 63522
Blueprint_19_Product 1194
Blueprint_19_Products 1
Blueprint_19_Level 1
Blueprint_19_Skill Craft
Blueprint_19_Build 27

Blueprint_20_Type Gear
Blueprint_20_Supplies 1
Blueprint_20_Supply_0_ID 1055
Blueprint_20_Supply_0_Amount 1
Blueprint_20_Tool 63522
Blueprint_20_Product 1036
Blueprint_20_Products 1
Blueprint_20_Level 1
Blueprint_20_Skill Craft
Blueprint_20_Build 27

// 战车弹药
Blueprint_21_Type Gear
Blueprint_21_Supplies 1
Blueprint_21_Supply_0_ID 1055
Blueprint_21_Supply_0_Amount 5
Blueprint_21_Tool 63522
Blueprint_21_Product 31703
Blueprint_21_Products 1
Blueprint_21_Level 1
Blueprint_21_Skill Craft
Blueprint_21_Build 27

Blueprint_22_Type Gear
Blueprint_22_Supplies 1
Blueprint_22_Supply_0_ID 1055
