GUID 507d8a28556f4482b719b29fb224184e
Type Library
Rarity Mythical
Useable Barricade
Build Library
ID 63607 

Size_X 2
Size_Y 2
Size_Z 0.39

Health 1000
Range 4
Radius 0.25
Offset 1.3

Capacity 10000

Explosion 29

Locked

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 49101
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Supply_1_ID 49103
Blueprint_0_Supply_1_Amount 5
Blueprint_0_Supply_2_ID 1055 
Blueprint_0_Supply_2_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Library_Metal
PlacementAudioClip Sounds/MetalPlacement.mp3
