GUID 36124e19fc444d1cbe6d8de6c5ea3f7f
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 63610

Size_X 5
Size_Y 2
Size_Z 0.35

Magazine 16363
Sight 16362

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 15
Ammo_Max 150

Safety
Auto

Caliber 6363

Range 175
Firerate 4
Replace 0.75
Unplace 0.31
Action Trigger

Aiming_Movement_Speed_Multiplier 1.0
Aiming_Recoil_Multiplier 0.8

Player_Damage 42
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 120
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.9
Animal_Skull_Multiplier 1.3

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 35
Resource_Damage 34
Object_Damage 55

Invulnerable
Durability 0.05

Spread_Aim 0.02
Spread_Hip 0.1
Spread_Crouch 0.8
Spread_Prone 0.65

Recoil_Min_X -2
Recoil_Min_Y 2.4
Recoil_Max_X 2.0
Recoil_Max_Y 2.8

Recover_X 0.6
Recover_Y 0.7

Shake_Min_X -0.0065
Shake_Min_Y 0.0025
Shake_Min_Z -0.015
Shake_Max_X 0.0045
Shake_Max_Y -0.0045
Shake_Max_Z -0.04

Muzzle 6317 
Shell 6319

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 4
Blueprint_1_Supply_0_ID 16361
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 395
Blueprint_1_Supply_1_Amount 5
Blueprint_1_Supply_2_ID 81
Blueprint_1_Supply_2_Amount 5
Blueprint_1_Supply_3_ID 1055
Blueprint_1_Supply_3_Amount 10
Blueprint_1_Build 27
Blueprint_1_Tool 63522

Use_Auto_Icon_Measurements False
Requires_NonZero_Attachment_Caliber True

Master_Bundle_Override lockednlazymaster.masterbundle
Bundle_Override_Path Bundles/Guns/Warthog
