GUID 909f1baae0e9415091e69f9f0b04af89
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 63601

Size_X 5
Size_Y 2
Size_Z 0.4

Magazine 16559

Hook_Sight

Ammo_Min 10
Ammo_Max 100

Safety
Auto

Caliber 6559

Range 225
Firerate 2
Action Trigger

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 120
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 80
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 40
Structure_Damage 20
Vehicle_Damage 35
Resource_Damage 20
Object_Damage 20

Durability 0.05

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X 0.25
Recoil_Min_Y 3
Recoil_Max_X 0.5
Recoil_Max_Y 3
Recoil_Prone 0.5
Recoil_Sprint 1.5
Can_Aim_During_Sprint True
Aim_In_Duration 0.1
Aiming_Recoil_Multiplier 0.9

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.02
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.03

Muzzle 6317 
Shell 6319

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 4
Blueprint_1_Supply_0_ID 16558
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 16474
Blueprint_1_Supply_1_Amount 3
Blueprint_1_Supply_2_ID 16334
Blueprint_1_Supply_2_Amount 3
Blueprint_1_Supply_3_ID 1055
Blueprint_1_Supply_3_Amount 10
Blueprint_1_Build 27
Blueprint_1_Tool 63522

Use_Auto_Icon_Measurements False
Requires_NonZero_Attachment_Caliber True

Master_Bundle_Override lockednlazymaster.masterbundle
Bundle_Override_Path Bundles/Guns/Ausweider
