GUID af4cd55a374a47978bdd66bf87c5812a
Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 63606

Size_X 4
Size_Y 2
Size_Z 0.375

Magazine 16230

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Caliber 6230

Range 250
Firerate 50
Action Bolt

Player_Damage 75
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 180
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 180
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 20

Durability 0.1

Spread_Aim 0.01
Spread_Hip 0.2

Recoil_Aim 0.5
Recoil_Min_X -8
Recoil_Min_Y 20
Recoil_Max_X 8
Recoil_Max_Y 25

Recover_X 0.3
Recover_Y 0.3

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 6317
Shell 6320

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 4
Blueprint_1_Supply_0_ID 16228
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 49111
Blueprint_1_Supply_1_Amount 2
Blueprint_1_Supply_2_ID 49102
Blueprint_1_Supply_2_Amount 2
Blueprint_1_Supply_3_ID 1055
Blueprint_1_Supply_3_Amount 5
Blueprint_1_Build 27
Blueprint_1_Tool 63522

Use_Auto_Icon_Measurements False
Requires_NonZero_Attachment_Caliber True

Master_Bundle_Override lockednlazymaster.masterbundle
Bundle_Override_Path Bundles/Guns/Samorodok
