GUID 8c1459c2096d4533921feacf2adb13d6
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 63602

Size_X 5
Size_Y 2
Size_Z 0.35
Size2_Z 0.7

Sight 63603
Magazine 16296

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 2
Ammo_Max 10

Fire_Delay_Seconds 0.949

Safety
Semi

Caliber 6294
Attachment_Calibers 2


Range 300
Firerate 15
Action Trigger
Shell 0

Player_Damage 100
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 600
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1.0
Zombie_Skull_Multiplier 1.1

Animal_Damage 600
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 1.0
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 100
Resource_Damage 100
Object_Damage 125

Invulnerable

Spread_Aim 0.001
Spread_Hip 0.1

Ballistic_Steps 24
Ballistic_Travel 12.5
Ballistic_Drop 0

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 6316

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 4
Blueprint_1_Supply_0_ID 16291
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Supply_1_ID 16294
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Supply_2_ID 49113
Blueprint_1_Supply_2_Amount 5
Blueprint_1_Supply_3_ID 1055
Blueprint_1_Supply_3_Amount 10
Blueprint_1_Build 27
Blueprint_1_Tool 63522

Use_Auto_Icon_Measurements False
Requires_NonZero_Attachment_Caliber True

Master_Bundle_Override lockednlazymaster.masterbundle
Bundle_Override_Path Bundles/Guns/Solbreaker
