GUID b9a7054ad91b48ee9539dc433c220df3
Type Supply
Rarity Mythical
ID 63520

Size_X 2
Size_Y 2
Size_Z 0.45

Blueprints 2
Blueprint_0_Type Supply
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 1055
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Products 2
Blueprint_0_Product 63520
Blueprint_0_Tool 1445
Blueprint_0_Build 27
Blueprint_1_Type Supply
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 63520
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Products 1
Blueprint_1_Product 66
Blueprint_1_Rewards 1
Blueprint_1_Reward_0_Type Item_Random 
Blueprint_1_Reward_0_ID 17607
Blueprint_1_Reward_0_Amount 1
Blueprint_1_Searchable false
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Blueprint_0_Index 1
Action_0_Text 我TM抽爆

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Boxes/Mystery_Box_3
