GUID 2ebe3ba128db43d99af5713a03789773
Type Melee
Rarity Mythical
Useable Melee
Slot Any
ID 63524

Size_X 1
Size_Y 2
Size_Z 0.4
Size2_Z 0.35

Range 1.5

Player_Damage 10
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 10
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 10
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 20
Resource_Damage 5
Object_Damage 10

Durability 0.05

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Gear
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 1055
Blueprint_1_Supply_0_Amount 10
Blueprint_1_Supply_1_ID 76
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Tool 63522
Blueprint_1_Product 63524
Blueprint_1_Products 1
Blueprint_1_Level 2
Blueprint_1_Skill Craft
Blueprint_1_Build 27

Repair
Repeated

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Melee/Blowtorch
