GUID d8080a11c3734dfabf02dd6baa52ff1f

Type Supply
ID 65112

Blueprints 14

Blueprint_0_Type Gear
Blueprint_0_Supplies 4
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 70
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_3_ID 255
Blueprint_0_Supply_3_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Product 381
Blueprint_0_Products 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 4
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 66
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Supply_2_ID 70
Blueprint_1_Supply_2_Amount 1
Blueprint_1_Supply_3_ID 256
Blueprint_1_Supply_3_Amount 1
Blueprint_1_Tool 76
Blueprint_1_Product 381
Blueprint_1_Products 1
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

Blueprint_2_Type Gear
Blueprint_2_Supplies 4
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 66
Blueprint_2_Supply_1_Amount 1
Blueprint_2_Supply_2_ID 70
Blueprint_2_Supply_2_Amount 1
Blueprint_2_Supply_3_ID 257
Blueprint_2_Supply_3_Amount 1
Blueprint_2_Tool 76
Blueprint_2_Product 381
Blueprint_2_Products 1
Blueprint_2_Level 1
Blueprint_2_Skill Craft
Blueprint_2_Build 27

Blueprint_3_Type Gear
Blueprint_3_Supplies 4
Blueprint_3_Supply_0_ID 67
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Supply_1_ID 66
Blueprint_3_Supply_1_Amount 1
Blueprint_3_Supply_2_ID 70
Blueprint_3_Supply_2_Amount 1
Blueprint_3_Supply_3_ID 258
Blueprint_3_Supply_3_Amount 1
Blueprint_3_Tool 76
Blueprint_3_Product 381
Blueprint_3_Products 1
Blueprint_3_Level 1
Blueprint_3_Skill Craft
Blueprint_3_Build 27

Blueprint_4_Type Gear
Blueprint_4_Supplies 4
Blueprint_4_Supply_0_ID 67
Blueprint_4_Supply_0_Amount 1
Blueprint_4_Supply_1_ID 66
Blueprint_4_Supply_1_Amount 1
Blueprint_4_Supply_2_ID 70
Blueprint_4_Supply_2_Amount 1
Blueprint_4_Supply_3_ID 259
Blueprint_4_Supply_3_Amount 1
Blueprint_4_Tool 76
Blueprint_4_Product 381
Blueprint_4_Products 1
Blueprint_4_Level 1
Blueprint_4_Skill Craft
Blueprint_4_Build 27

Blueprint_5_Type Gear
Blueprint_5_Supplies 4
Blueprint_5_Supply_0_ID 67
Blueprint_5_Supply_0_Amount 1
Blueprint_5_Supply_1_ID 66
Blueprint_5_Supply_1_Amount 1
Blueprint_5_Supply_2_ID 70
Blueprint_5_Supply_2_Amount 1
Blueprint_5_Supply_3_ID 260
Blueprint_5_Supply_3_Amount 1
Blueprint_5_Tool 76
Blueprint_5_Product 381
Blueprint_5_Products 1
Blueprint_5_Level 1
Blueprint_5_Skill Craft
Blueprint_5_Build 27

Blueprint_6_Type Gear
Blueprint_6_Supplies 4
Blueprint_6_Supply_0_ID 67
Blueprint_6_Supply_0_Amount 1
Blueprint_6_Supply_1_ID 66
Blueprint_6_Supply_1_Amount 1
Blueprint_6_Supply_2_ID 69
Blueprint_6_Supply_2_Amount 1
Blueprint_6_Supply_3_ID 255
Blueprint_6_Supply_3_Amount 1
Blueprint_6_Tool 76
Blueprint_6_Product 381
Blueprint_6_Products 1
Blueprint_6_Level 1
Blueprint_6_Skill Craft
Blueprint_6_Build 27

Blueprint_7_Type Gear
Blueprint_7_Supplies 4
Blueprint_7_Supply_0_ID 67
Blueprint_7_Supply_0_Amount 1
Blueprint_7_Supply_1_ID 66
Blueprint_7_Supply_1_Amount 1
Blueprint_7_Supply_2_ID 69
Blueprint_7_Supply_2_Amount 1
Blueprint_7_Supply_3_ID 256
Blueprint_7_Supply_3_Amount 1
Blueprint_7_Tool 76
Blueprint_7_Product 381
Blueprint_7_Products 1
Blueprint_7_Level 1
Blueprint_7_Skill Craft
Blueprint_7_Build 27

Blueprint_8_Type Gear
Blueprint_8_Supplies 4
Blueprint_8_Supply_0_ID 67
Blueprint_8_Supply_0_Amount 1
Blueprint_8_Supply_1_ID 66
Blueprint_8_Supply_1_Amount 1
Blueprint_8_Supply_2_ID 69
Blueprint_8_Supply_2_Amount 1
Blueprint_8_Supply_3_ID 257
Blueprint_8_Supply_3_Amount 1
Blueprint_8_Tool 76
Blueprint_8_Product 381
Blueprint_8_Products 1
Blueprint_8_Level 1
Blueprint_8_Skill Craft
Blueprint_8_Build 27

Blueprint_9_Type Gear
Blueprint_9_Supplies 4
Blueprint_9_Supply_0_ID 67
Blueprint_9_Supply_0_Amount 1
Blueprint_9_Supply_1_ID 66
Blueprint_9_Supply_1_Amount 1
Blueprint_9_Supply_2_ID 69
Blueprint_9_Supply_2_Amount 1
Blueprint_9_Supply_3_ID 258
Blueprint_9_Supply_3_Amount 1
Blueprint_9_Tool 76
Blueprint_9_Product 381
Blueprint_9_Products 1
Blueprint_9_Level 1
Blueprint_9_Skill Craft
Blueprint_9_Build 27

Blueprint_10_Type Gear
Blueprint_10_Supplies 4
Blueprint_10_Supply_0_ID 67
Blueprint_10_Supply_0_Amount 1
Blueprint_10_Supply_1_ID 66
Blueprint_10_Supply_1_Amount 1
Blueprint_10_Supply_2_ID 69
Blueprint_10_Supply_2_Amount 1
Blueprint_10_Supply_3_ID 259
Blueprint_10_Supply_3_Amount 1
Blueprint_10_Tool 76
Blueprint_10_Product 381
Blueprint_10_Products 1
Blueprint_10_Level 1
Blueprint_10_Skill Craft
Blueprint_10_Build 27

Blueprint_11_Type Gear
Blueprint_11_Supplies 4
Blueprint_11_Supply_0_ID 67
Blueprint_11_Supply_0_Amount 1
Blueprint_11_Supply_1_ID 66
Blueprint_11_Supply_1_Amount 1
Blueprint_11_Supply_2_ID 69
Blueprint_11_Supply_2_Amount 1
Blueprint_11_Supply_3_ID 260
Blueprint_11_Supply_3_Amount 1
Blueprint_11_Tool 76
Blueprint_11_Product 381
Blueprint_11_Products 1
Blueprint_11_Level 1
Blueprint_11_Skill Craft
Blueprint_11_Build 27

//raws 20g tape

Blueprint_12_Type Gear
Blueprint_12_Supplies 4
Blueprint_12_Supply_0_ID 67
Blueprint_12_Supply_0_Amount 32
Blueprint_12_Supply_1_ID 66
Blueprint_12_Supply_1_Amount 32
Blueprint_12_Supply_2_ID 69
Blueprint_12_Supply_2_Amount 1
Blueprint_12_Supply_3_ID 73
Blueprint_12_Supply_3_Amount 1
Blueprint_12_Tool 76
Blueprint_12_Product 381
Blueprint_12_Products 32
Blueprint_12_Level 1
Blueprint_12_Skill Craft
Blueprint_12_Build 27

//raws 20g glue

Blueprint_13_Type Gear
Blueprint_13_Supplies 4
Blueprint_13_Supply_0_ID 67
Blueprint_13_Supply_0_Amount 32
Blueprint_13_Supply_1_ID 66
Blueprint_13_Supply_1_Amount 32
Blueprint_13_Supply_2_ID 70
Blueprint_13_Supply_2_Amount 1
Blueprint_13_Supply_3_ID 73
Blueprint_13_Supply_3_Amount 1
Blueprint_13_Tool 76
Blueprint_13_Product 381
Blueprint_13_Products 32
Blueprint_13_Level 1
