// Made in NPC Maker by BowieD
GUID 27729c691ce748ecae1b4f18c96de8fb
Type Dialogue
ID 61507
Messages 1
Message_0_Pages 1
Responses 6
Response_0_Dialogue 61508
Response_0_Quest 61723
Response_0_Conditions 3
Response_0_Condition_0_Type Quest
Response_0_Condition_0_ID 61723
Response_0_Condition_0_Status None
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_Ignore_NPC False

Response_0_Condition_1_Type Flag_Short
Response_0_Condition_1_ID 61698
Response_0_Condition_1_Value 0
Response_0_Condition_1_Allow_Unset 
Response_0_Condition_1_Logic Equal

Response_0_Condition_2_Type Flag_Bool
Response_0_Condition_2_ID 61699
Response_0_Condition_2_Value False
Response_0_Condition_2_Allow_Unset 
Response_0_Condition_2_Logic Equal

Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 61723

Response_1_Dialogue 61508
Response_1_Quest 61723
Response_1_Conditions 3
Response_1_Condition_0_Type Quest
Response_1_Condition_0_ID 61723
Response_1_Condition_0_Status Completed
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_Ignore_NPC False

Response_1_Condition_1_Type Flag_Short
Response_1_Condition_1_ID 61698
Response_1_Condition_1_Value 0
Response_1_Condition_1_Allow_Unset 
Response_1_Condition_1_Logic Equal

Response_1_Condition_2_Type Flag_Bool
Response_1_Condition_2_ID 61699
Response_1_Condition_2_Value False
Response_1_Condition_2_Allow_Unset 
Response_1_Condition_2_Logic Equal

Response_1_Rewards 1
Response_1_Reward_0_Type Quest
Response_1_Reward_0_ID 61723

Response_2_Dialogue 61509
Response_2_Quest 61723
Response_2_Conditions 1
Response_2_Condition_0_Type Quest
Response_2_Condition_0_ID 61723
Response_2_Condition_0_Status Ready
Response_2_Condition_0_Logic Equal
Response_2_Condition_0_Ignore_NPC False
Response_2_Condition_0_Reset 

Response_3_Dialogue 61508
Response_3_Quest 61724
Response_3_Conditions 3
Response_3_Condition_0_Type Quest
Response_3_Condition_0_ID 61724
Response_3_Condition_0_Status None
Response_3_Condition_0_Logic Equal
Response_3_Condition_0_Ignore_NPC False

Response_3_Condition_1_Type Flag_Short
Response_3_Condition_1_ID 61698
Response_3_Condition_1_Value 1
Response_3_Condition_1_Logic Equal

Response_3_Condition_2_Type Flag_Bool
Response_3_Condition_2_ID 61699
Response_3_Condition_2_Value False
Response_3_Condition_2_Logic Equal

Response_3_Rewards 1
Response_3_Reward_0_Type Quest
Response_3_Reward_0_ID 61724

Response_4_Dialogue 61508
Response_4_Quest 61724
Response_4_Conditions 3
Response_4_Condition_0_Type Quest
Response_4_Condition_0_ID 61724
Response_4_Condition_0_Status Completed
Response_4_Condition_0_Logic Equal
Response_4_Condition_0_Ignore_NPC False

Response_4_Condition_1_Type Flag_Short
Response_4_Condition_1_ID 61698
Response_4_Condition_1_Value 1
Response_4_Condition_1_Logic Equal

Response_4_Condition_2_Type Flag_Bool
Response_4_Condition_2_ID 61699
Response_4_Condition_2_Value False
Response_4_Condition_2_Logic Equal

Response_4_Rewards 1
Response_4_Reward_0_Type Quest
Response_4_Reward_0_ID 61724

Response_5_Dialogue 61509
Response_5_Quest 61724
Response_5_Conditions 1
Response_5_Condition_0_Type Quest
Response_5_Condition_0_ID 61724
Response_5_Condition_0_Status Ready
Response_5_Condition_0_Logic Equal
Response_5_Condition_0_Ignore_NPC False
Response_5_Condition_0_Reset 

