// Made in NPC Maker by BowieD
Message_0_Page_0 我来看看我手下的士兵们又提出了什么加餐的需求，你如果能帮忙搞到他们想吃的东西，我很乐意拿出我们的军用物资和你交换，当然，乌鸦岩的奸商更想要那些废纸，我们多的是。
Response_0 (随机接取日常任务)
Response_1 (随机接取日常任务)
Response_2 (食材需求收集·肉罐头)
Response_3 (随机接取日常任务)
Response_4 (随机接取日常任务)
Response_5 (食材需求收集·塔科夫牛肉)
Response_6 (随机接取日常任务)
Response_7 (随机接取日常任务)
Response_8 (食材需求收集·塔科夫牛肉)
Response_9 (随机接取日常任务)
Response_10 (随机接取日常任务)
Response_11 (食材需求收集·塔科夫牛肉)
Response_12 (随机接取日常任务)
Response_13 (随机接取日常任务)
Response_14 (食材需求收集·塔科夫牛肉)
Response_15 (随机接取日常任务)
Response_16 (随机接取日常任务)
Response_17 (食材需求收集·塔科夫牛肉)
