// Made in NPC Maker by BowieD
GUID 149898875dcd4aa6b87b3d127e97e9b6
Type Vendor
ID 61900
Buying 16
Buying_0_ID 10346
Buying_0_Cost 20
Buying_1_ID 10344
Buying_1_Cost 20
Buying_2_ID 10294
Buying_2_Cost 20
Buying_3_ID 10312
Buying_3_Cost 20
Buying_4_ID 10314
Buying_4_Cost 20
Buying_5_ID 10316
Buying_5_Cost 20
Buying_6_ID 10324
Buying_6_Cost 20
Buying_7_ID 10258
Buying_7_Cost 35
Buying_8_ID 10408
Buying_8_Cost 40
Buying_9_ID 10296
Buying_9_Cost 45
Buying_10_ID 10298
Buying_10_Cost 45
Buying_11_ID 10410
Buying_11_Cost 100
Buying_12_ID 10330
Buying_12_Cost 20
Buying_13_ID 10332
Buying_13_Cost 20
Buying_14_ID 10334
Buying_14_Cost 20
Buying_15_ID 10336
Buying_15_Cost 200
Disable_Sorting
Currency 5150ca8f765d4a68bfe54912146da410
