GUID f11c5af07c3049d0b408140bd7371684

Type Supply
ID 63506

Blueprints 4


Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 16309
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Product 67
Blueprint_0_Products 5
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 16310
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Tool 76
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 16311
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Tool 76
Blueprint_2_Product 67
Blueprint_2_Products 3
Blueprint_2_Level 1
Blueprint_2_Skill Craft
Blueprint_2_Build 27

Blueprint_3_Type Gear
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 16308
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Tool 1445
Blueprint_3_Product 1008
Blueprint_3_Products 1
Blueprint_3_Level 1
Blueprint_3_Skill Craft
Blueprint_3_Build 27


Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Alicepack
Exclude_From_Master_Bundle
