GUID 8b94f3986df140afa5f46e4dc7461bc5

Type Supply
ID 63504

Blueprints 4

Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 12
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 12
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Product 18720
Blueprint_0_Products 1
Blueprint_0_Build 28

Blueprint_1_Type Furniture
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 12
Blueprint_1_Supply_1_ID 285
Blueprint_1_Supply_1_Amount 18
Blueprint_1_Tool 76
Blueprint_1_Level 2
Blueprint_1_Skill Craft
Blueprint_1_Product 18721
Blueprint_1_Products 1
Blueprint_1_Build 28

Blueprint_2_Type Furniture
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 67
Blueprint_2_Supply_0_Amount 24
Blueprint_2_Supply_1_ID 285
Blueprint_2_Supply_1_Amount 36
Blueprint_2_Tool 76
Blueprint_2_Level 2
Blueprint_2_Skill Craft
Blueprint_2_Product 18722
Blueprint_2_Products 1
Blueprint_2_Build 28

Blueprint_3_Type Furniture
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 49101
Blueprint_3_Supply_0_Amount 5
Blueprint_3_Tool 76
Blueprint_3_Level 2
Blueprint_3_Skill Craft
Blueprint_3_Product 18722
Blueprint_3_Products 1
Blueprint_3_Build 28

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Alicepack
Exclude_From_Master_Bundle
