GUID 9d8b6ac86f784456943a55b66ddde776

Type Supply
ID 63500

Blueprints 76

//low cal civ 民小 不删

Blueprint_0_Type Gear
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 49101
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 255
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Product 44
Blueprint_0_Products 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 49101
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_1_ID 256
Blueprint_1_Supply_1_Amount 2
Blueprint_1_Tool 76
Blueprint_1_Product 44
Blueprint_1_Products 1
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

Blueprint_2_Type Gear
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 49101
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 257
Blueprint_2_Supply_1_Amount 2
Blueprint_2_Tool 76
Blueprint_2_Product 44
Blueprint_2_Products 1
Blueprint_2_Level 1
Blueprint_2_Skill Craft
Blueprint_2_Build 27

Blueprint_3_Type Gear
Blueprint_3_Supplies 2
Blueprint_3_Supply_0_ID 49101
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Supply_1_ID 258
Blueprint_3_Supply_1_Amount 2
Blueprint_3_Tool 76
Blueprint_3_Product 44
Blueprint_3_Products 1
Blueprint_3_Level 1
Blueprint_3_Skill Craft
Blueprint_3_Build 27

Blueprint_4_Type Gear
Blueprint_4_Supplies 2
Blueprint_4_Supply_0_ID 49101
Blueprint_4_Supply_0_Amount 1
Blueprint_4_Supply_1_ID 259
Blueprint_4_Supply_1_Amount 2
Blueprint_4_Tool 76
Blueprint_4_Product 44
Blueprint_4_Products 1
Blueprint_4_Level 1
Blueprint_4_Skill Craft
Blueprint_4_Build 27

Blueprint_5_Type Gear
Blueprint_5_Supplies 2
Blueprint_5_Supply_0_ID 49101
Blueprint_5_Supply_0_Amount 1
Blueprint_5_Supply_1_ID 260
Blueprint_5_Supply_1_Amount 2
Blueprint_5_Tool 76
Blueprint_5_Product 44
Blueprint_5_Products 1
Blueprint_5_Level 1
Blueprint_5_Skill Craft
Blueprint_5_Build 27

//Miltek-Plus Box 军大 7.62x51

Blueprint_6_Type Gear
Blueprint_6_Supplies 2
Blueprint_6_Supply_0_ID 49101
Blueprint_6_Supply_0_Amount 2
Blueprint_6_Supply_1_ID 255
Blueprint_6_Supply_1_Amount 4
Blueprint_6_Tool 76
Blueprint_6_Product 16376
Blueprint_6_Products 1
Blueprint_6_Level 3
Blueprint_6_Skill Craft
Blueprint_6_Build 27

Blueprint_7_Type Gear
Blueprint_7_Supplies 2
Blueprint_7_Supply_0_ID 49101
Blueprint_7_Supply_0_Amount 2
Blueprint_7_Supply_1_ID 256
Blueprint_7_Supply_1_Amount 4
Blueprint_7_Tool 76
Blueprint_7_Product 16376
Blueprint_7_Products 1
Blueprint_7_Level 3
Blueprint_7_Skill Craft
Blueprint_7_Build 27

Blueprint_8_Type Gear
Blueprint_8_Supplies 2
Blueprint_8_Supply_0_ID 49101
Blueprint_8_Supply_0_Amount 2
Blueprint_8_Supply_1_ID 257
Blueprint_8_Supply_1_Amount 4
Blueprint_8_Tool 76
Blueprint_8_Product 16376
Blueprint_8_Products 1
Blueprint_8_Level 3
Blueprint_8_Skill Craft
Blueprint_8_Build 27

Blueprint_9_Type Gear
Blueprint_9_Supplies 2
Blueprint_9_Supply_0_ID 49101
Blueprint_9_Supply_0_Amount 2
Blueprint_9_Supply_1_ID 258
Blueprint_9_Supply_1_Amount 4
Blueprint_9_Tool 76
Blueprint_9_Product 16376
Blueprint_9_Products 1
Blueprint_9_Level 3
Blueprint_9_Skill Craft
Blueprint_9_Build 27

Blueprint_10_Type Gear
Blueprint_10_Supplies 2
Blueprint_10_Supply_0_ID 49101
Blueprint_10_Supply_0_Amount 2
Blueprint_10_Supply_1_ID 259
Blueprint_10_Supply_1_Amount 4
Blueprint_10_Tool 76
Blueprint_10_Product 16376
Blueprint_10_Products 1
Blueprint_10_Level 3
Blueprint_10_Skill Craft
Blueprint_10_Build 27

Blueprint_11_Type Gear
Blueprint_11_Supplies 2
Blueprint_11_Supply_0_ID 49101
Blueprint_11_Supply_0_Amount 2
Blueprint_11_Supply_1_ID 260
Blueprint_11_Supply_1_Amount 4
Blueprint_11_Tool 76
Blueprint_11_Product 16376
Blueprint_11_Products 1
Blueprint_11_Level 3
Blueprint_11_Skill Craft
Blueprint_11_Build 27

//Rangr-Plus Box 俄大20发

Blueprint_12_Type Gear
Blueprint_12_Supplies 2
Blueprint_12_Supply_0_ID 49101
Blueprint_12_Supply_0_Amount 2
Blueprint_12_Supply_1_ID 255
Blueprint_12_Supply_1_Amount 4
Blueprint_12_Tool 76
Blueprint_12_Product 16377
Blueprint_12_Products 1
Blueprint_12_Level 3
Blueprint_12_Skill Craft
Blueprint_12_Build 27

Blueprint_13_Type Gear
Blueprint_13_Supplies 2
Blueprint_13_Supply_0_ID 49101
Blueprint_13_Supply_0_Amount 2
Blueprint_13_Supply_1_ID 256
Blueprint_13_Supply_1_Amount 4
Blueprint_13_Tool 76
Blueprint_13_Product 16377
Blueprint_13_Products 1
Blueprint_13_Level 3
Blueprint_13_Skill Craft
Blueprint_13_Build 27

Blueprint_14_Type Gear
Blueprint_14_Supplies 2
Blueprint_14_Supply_0_ID 49101
Blueprint_14_Supply_0_Amount 2
Blueprint_14_Supply_1_ID 257
Blueprint_14_Supply_1_Amount 4
Blueprint_14_Tool 76
Blueprint_14_Product 16377
Blueprint_14_Products 1
Blueprint_14_Level 3
Blueprint_14_Skill Craft
Blueprint_14_Build 27

Blueprint_15_Type Gear
Blueprint_15_Supplies 2
Blueprint_15_Supply_0_ID 49101
Blueprint_15_Supply_0_Amount 2
Blueprint_15_Supply_1_ID 258
Blueprint_15_Supply_1_Amount 4
Blueprint_15_Tool 76
Blueprint_15_Product 16377
Blueprint_15_Products 1
Blueprint_15_Level 3
Blueprint_15_Skill Craft
Blueprint_15_Build 27

Blueprint_16_Type Gear
Blueprint_16_Supplies 2
Blueprint_16_Supply_0_ID 49101
Blueprint_16_Supply_0_Amount 2
Blueprint_16_Supply_1_ID 259
Blueprint_16_Supply_1_Amount 4
Blueprint_16_Tool 76
Blueprint_16_Product 16377
Blueprint_16_Products 1
Blueprint_16_Level 3
Blueprint_16_Skill Craft
Blueprint_16_Build 27

Blueprint_17_Type Gear
Blueprint_17_Supplies 2
Blueprint_17_Supply_0_ID 49101
Blueprint_17_Supply_0_Amount 2
Blueprint_17_Supply_1_ID 260
Blueprint_17_Supply_1_Amount 4
Blueprint_17_Tool 76
Blueprint_17_Product 16377
Blueprint_17_Products 1
Blueprint_17_Level 3
Blueprint_17_Skill Craft
Blueprint_17_Build 27

//raws lcc 民小

Blueprint_18_Type Gear
Blueprint_18_Supplies 2
Blueprint_18_Supply_0_ID 49101
Blueprint_18_Supply_0_Amount 3
Blueprint_18_Supply_1_ID 73
Blueprint_18_Supply_1_Amount 1
Blueprint_18_Tool 76
Blueprint_18_Product 44
Blueprint_18_Products 3
Blueprint_18_Level 1
Blueprint_18_Skill Craft
Blueprint_18_Build 27

//Miltek Crate 军小80发 大宗

Blueprint_19_Type Gear
Blueprint_19_Supplies 2
