GUID 47097f72d56c4bfb83bb8947e66396d5
Type Melee
Rarity Rare
Useable Melee
Slot Any
Bypass_ID_Limit
ID 121
Master_Bundle_Override core.masterbundle
Bundle_Override_Path Items\Melee\Knife_Military
Size_X 1
Size_Y 2
Size_Z 0.55
Size2_Z 0.4

Range 2.0
Strength 3.0
Weak 0.44
Strong 0.5
Stamina 15

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.8

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 5
Resource_Damage 5
Object_Damage 10

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 121
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
AttackAudioClip Sounds/MeleeAttack_02.mp3
