GUID 5b0f16188d8442edaae8b0c6e0d86b75
Type Melee
Rarity Uncommon
Useable Melee
Slot Any
Bypass_ID_Limit
ID 1174
Master_Bundle_Override core.masterbundle
Bundle_Override_Path Items/Melee/Scythe
Size_X 3
Size_Y 2
Size_Z 0.6
Size2_Z 0.8
Use_Auto_Icon_Measurements false

Range 3.5
Strength 2.0
Weak 0.37
Strong 0.37
Stamina 35

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 40
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.4
Zombie_Spine_Multiplier 0.4
Zombie_Skull_Multiplier 1.5

Animal_Damage 40
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 20

Durability 0.5

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1174
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
AttackAudioClip Sounds/MeleeAttack_02.mp3
