GUID ed5c175dbe6e4fcfb4c327cb9e2ac687
Type Barricade
Rarity Rare
Useable Barricade
Has_Clip_Prefab False
Build Barricade
ID 60035

Size_X 2
Size_Y 2
Size_Z 0.51

Health 100
Range 4
Radius 0.25
Offset 0.3

Explosion 36

Vulnerable

Salvage_Duration_Multiplier 0.1

PlacementAudioClip Sounds/MiscPlacement.mp3

Bypass_Pickup_Ownership True

Blueprints 1

Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 60035
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 59714
Blueprint_0_Output_0_Amount 6
Blueprint_0_Build 27

Actions 1

Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Unstack
Action_0_Tooltip Uncompactify.
