GUID 1f148fc88c5340bab804138e46809a9e
Type Barricade
Rarity Epic
Useable Barricade

Has_Clip_Prefab False

Build Barricade
ID 60023

Size_X 3
Size_Y 3
Size_Z 0.5

Health 400
Range 4
Radius 0.25
Offset 0.275

Explosion 36

Vulnerable

Salvage_Duration_Multiplier 0.1

PlacementAudioClip Sounds/MetalPlacement.mp3

Bypass_Pickup_Ownership True

Blueprints 1


Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 60023
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 59505
Blueprint_0_Output_0_Amount 12
Blueprint_0_Build 27

Actions 1

Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Unstack
Action_0_Tooltip Uncompactify.
