GUID eae5cdfb94114e22aed8efa5fe70b1a6
Type Barricade
Rarity Rare
Useable Barricade
Has_Clip_Prefab False
Build Barricade
ID 59806

SalvageItem eae5cdfb94114e22aed8efa5fe70b1a6

Size_X 1
Size_Y 1
Size_Z 0.42

Health 200
Range 4
Radius 0.125
Offset 0.15

Explosion 36

Vulnerable

Salvage_Duration_Multiplier 0.1

PlacementAudioClip Sounds/MiscPlacement.mp3

Bypass_Pickup_Ownership True

Blueprints 2


Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59806
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 59016
Blueprint_0_Output_0_Amount 10
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59806
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 59007
Blueprint_1_Output_0_Amount 5
Blueprint_1_Output_1_ID 59028
Blueprint_1_Output_1_Amount 5

Blueprint_1_Build 27

Actions 2

Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Unstack
Action_0_Tooltip Uncompactify.

Action_1_Type Blueprint
Action_1_Blueprint_0_Index 1
Action_1_Blueprint_0_Link
Action_1_Text Scrap
Action_1_Tooltip Turn into <color=#ffffff>Components</color>.
