GUID b121eb1097264dde8aaaa52e5c72f575
Type Storage
Rarity Rare
Useable Barricade

Has_Clip_Prefab False

Build Storage
ID 59376

Size_X 2
Size_Y 2
Size_Z 0.75
Health 300

Storage_X 14
Storage_Y 30

Range 4
Radius 0.34
Offset 0.39

Explosion 36

Vulnerable

Use_Auto_Icon_Measurements False

PlacementAudioClip Sounds/MetalPlacement.mp3

Salvage_Duration_Multiplier 0.1

Bypass_Pickup_Ownership True

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 7
Blueprint_0_Supply_0_ID 49101
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Supply_1_ID 141
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 138
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_3_ID 59576
Blueprint_0_Supply_3_Amount 1
Blueprint_0_Supply_4_ID 65
Blueprint_0_Supply_4_Amount 5
Blueprint_0_Supply_5_ID 69
Blueprint_0_Supply_5_Amount 5
Blueprint_0_Supply_6_ID 70
Blueprint_0_Supply_6_Amount 5
Blueprint_0_Product 59376
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
