GUID 84d25105efdd41c2a1ddbdc5fe4859cb


Type Melee
Useable Melee
Slot Secondary
ID 16502
Rarity Uncommon
Size_X 2
Size_Y 3
Size_Z 0.6
Size2_Z 0.6

Range 2.5
Strength 2.5
Stamina 24

Player_Damage 20
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 20
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.5

Animal_Damage 20
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.5

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 25
Resource_Damage 50
Object_Damage 40

Durability 0.2

Blueprints 2

Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 104
Blueprint_1_Product 16502
Blueprint_1_Products 1
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 16502
Blueprint_2_Product 67
Blueprint_2_Products 3
Blueprint_2_Build 27



Asset_Bundler_Version 2
