GUID c1aa473f11be40a3bc0995fceb9f3603


Rarity Uncommon
Type Melee
Useable Melee
Slot Secondary
ID 16501

Size_X 2
Size_Y 3
Size_Z 0.6
Size2_Z 0.8

Range 2.2
Strength 2.5
Stamina 20

Player_Damage 17
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 17
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 2

Animal_Damage 17
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.5

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 20
Resource_Damage 80
Object_Damage 30

Durability 0.15

Blueprints 4
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 16
Blueprint_1_Product 16501
Blueprint_1_Products 1
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 104
Blueprint_2_Product 16501
Blueprint_2_Products 1
Blueprint_2_Build 27

Blueprint_3_Type Tool
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 16501
Blueprint_3_Product 67
Blueprint_3_Products 3
Blueprint_3_Build 27



Asset_Bundler_Version 2
