GUID 1f3e2f90eff24e71946ffb4778839478


Type Melee
Useable Melee
Slot Any
ID 63916

Size_X 1
Size_Y 3
Size_Z 0.7
Size2_Z 0.5

Range 2.3
Strong 0.375
Strength 2.5
Stamina 15

Player_Damage 20
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 20
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 3.0

Animal_Damage 20
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 2
Resource_Damage 2
Object_Damage 20

Durability 0.1

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 63916
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 105
Blueprint_2_Product 63916
Blueprint_2_Products 1
Blueprint_2_Build 27

