GUID 3f05355b2afb42a1a5502c5a8bf7eddd


Rarity Mythical
Type Melee
Useable Melee
Slot Secondary
ID 16504

Size_X 1
Size_Y 2
Size_Z 0.6
Size2_Z 0.525

Range 2.3
BladeID 3
Strength 2.5
Weak 0.37
Strong 0.37
Stamina 15

Player_Damage 20
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 15
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.5

Animal_Damage 30
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.125

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1032
Blueprint_1_Product 16504
Blueprint_1_Products 1
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 16504
Blueprint_2_Product 67
Blueprint_2_Products 3
Blueprint_2_Build 27


Asset_Bundler_Version 2
