GUID a610f389357a43579cb15b3c9d5fa946

Rarity Uncommon
Type Melee
Useable Melee
Slot Secondary
ID 16505

Size_X 1
Size_Y 2
Size_Z 0.5
Size2_Z 0.4

Range 2
Strength 2.5
Weak 0.37
Strong 0.37
Stamina 10

Player_Damage 9
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 10
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.5

Animal_Damage 15
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 5
Resource_Damage 5
Object_Damage 20

Durability 0.15

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 138
Blueprint_1_Product 16505
Blueprint_1_Products 1
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 16505
Blueprint_2_Product 67
Blueprint_2_Products 2
Blueprint_2_Build 27



Asset_Bundler Version 2
