GUID fcb2d299eaea4e9ab04a00a313a1931c


Type Melee
Useable Melee
Slot Secondary
ID 16512

Rarity Uncommon
Size_X 1
Size_Y 2
Size_Z 0.55
Size2_Z 0.45

Range 1.7
Strength 2.5
Weak 0.37
Strong 0.37
Stamina 12

Player_Damage 15
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 20
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.5

Animal_Damage 20
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 5
Resource_Damage 5
Object_Damage 15

Durability 0.15

Blueprints 3

Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 137
Blueprint_1_Product 16512
Blueprint_1_Products 1
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 16512
Blueprint_2_Product 67
Blueprint_2_Products 1
Blueprint_2_Build 27



Asset_Bundler_Version 2
