GUID 761f7b8436e04cb0998c454ebab5fca5


Type Melee
Rarity Epic
Useable Melee
Slot Any
ID 63918

Size_X 1
Size_Y 3
Size_Z 0.7
Size2_Z 0.5

Range 2.5
Strength 2.5
Weak 0.44
Stamina 20

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.8

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 40
Object_Damage 15

Durability 0.15

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 63918
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 1035
Blueprint_2_Product 63918
Blueprint_2_Products 1
Blueprint_2_Build 27

Asset_Bundle_Version 3
