GUID aa4d3e73f9d2456aa90c18009f916993


Type Melee
Rarity Epic
Useable Melee
Slot Secondary
ID 16507

Size_X 1
Size_Y 3
Size_Z 0.7
Size2_Z 0.5

Range 2.5
Strength 2.5
Weak 0.44
Stamina 20

Player_Damage 23
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.8

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 15
Resource_Damage 40
Object_Damage 20

Durability 0.2

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1035
Blueprint_1_Product 16507
Blueprint_1_Products 1
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 16507
Blueprint_2_Product 67
Blueprint_2_Products 3
Blueprint_2_Build 27


Asset_Bundler_Version 2
