GUID 798050058e234d5bac746a808037ffb4


Type Melee
Useable Melee
Slot Secondary
ID 16508

Rarity Uncommon

Size_X 3
Size_Y 1
Size_Z 0.5
Size2_Z 0.4

Range 3.3
Strength 2.5
Weak 0.45
Strong 0.44
Stamina 15

Player_Damage 15
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 15
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.5

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 3

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 5
Resource_Damage 5
Object_Damage 5

Durability 0.15

Blueprints 6
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 38
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Blueprint_1_Type Repair
Blueprint_1_Supply_0_ID 40
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27

Blueprint_2_Type Repair
Blueprint_2_Supply_0_ID 42
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Build 27

Blueprint_3_Type Tool
Blueprint_3_Supplies 2
Blueprint_3_Supply_0_ID 38
Blueprint_3_Supply_0_Amount 3
Blueprint_3_Supply_1_ID 66
Blueprint_3_Supply_1_Amount 1
Blueprint_3_Product 16508
Blueprint_3_Products 1
Blueprint_3_Build 27

Blueprint_4_Type Tool
Blueprint_4_Supplies 2
Blueprint_4_Supply_0_ID 40
Blueprint_4_Supply_0_Amount 3
Blueprint_4_Supply_1_ID 66
Blueprint_4_Supply_1_Amount 1
Blueprint_4_Product 16508
Blueprint_4_Products 1
Blueprint_4_Build 27

Blueprint_5_Type Tool
Blueprint_5_Supplies 2
Blueprint_5_Supply_0_ID 42
Blueprint_5_Supply_0_Amount 3
Blueprint_5_Supply_1_ID 66
Blueprint_5_Supply_1_Amount 1
Blueprint_5_Product 16508
Blueprint_5_Products 1
Blueprint_5_Build 27



Asset_Bundler_Version 2
