GUID 26d52e8eb64d4fa39d4528d1943f3d90

Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 63552

Size_X 3
Size_Y 2
Size_Z 0.5

Health 600
Range 4
Radius 0.5
Offset 0.75

Storage_X 14
Storage_Y 14

Vulnerable

Explosion 36

Blueprints 3

Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 71
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 138
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Furniture
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 62
Blueprint_1_Supply_0_Amount 6
Blueprint_1_Supply_1_ID 71
Blueprint_1_Supply_1_Amount 2
Blueprint_1_Tool 138
Blueprint_1_Level 1
Blueprint_1_Skill Craft
Blueprint_1_Build 27

Blueprint_2_Type Furniture
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 63
Blueprint_2_Supply_0_Amount 6
Blueprint_2_Supply_1_ID 71
Blueprint_2_Supply_1_Amount 2
Blueprint_2_Tool 138
Blueprint_2_Level 1
Blueprint_2_Skill Craft
Blueprint_2_Build 27

Should_Close_When_Outside_Range true

Exclude_From_Master_Bundle
