// Made in NPC Maker by BowieD
Message_0_Page_0 我来看看我手下的士兵们又提出了什么加餐的需求，你如果能帮忙搞到他们想吃的东西，我很乐意拿出我们的军用物资和你交换，当然，乌鸦岩的奸商更想要那些废纸，我们多的是。
Response_0 (随机接取日常任务)
Response_1 (随机接取日常任务)
Response_2 (完成任务)
Response_3 (随机接取日常任务)
Response_4 (随机接取日常任务)
Response_5 (完成任务)
Response_6 (随机接取日常任务)
Response_7 (随机接取日常任务)
Response_8 (完成任务)
Response_9 (随机接取日常任务)
Response_10 (随机接取日常任务)
Response_11 (完成任务)
Response_12 (随机接取日常任务)
Response_13 (随机接取日常任务)
Response_14 (完成任务)
Response_15 (随机接取日常任务)
Response_16 (随机接取日常任务)
Response_17 (完成任务)
Response_18 (随机接取日常任务)
Response_19 (随机接取日常任务)
Response_20 (完成任务)
Response_21 (随机接取日常任务)
Response_22 (随机接取日常任务)
Response_23 (完成任务)
Response_24 (随机接取日常任务)
Response_25 (随机接取日常任务)
Response_26 (完成任务)
Response_27 (随机接取日常任务)
Response_28 (随机接取日常任务)
Response_29 (完成任务)
Response_30 (随机接取日常任务)
Response_31 (随机接取日常任务)
Response_32 (完成任务)
Response_33 (随机接取日常任务)
Response_34 (随机接取日常任务)
Response_35 (完成任务)
Response_36 (随机接取日常任务)
Response_37 (随机接取日常任务)
Response_38 (完成任务)
Response_39 (随机接取日常任务)
Response_40 (随机接取日常任务)
Response_41 (完成任务)
Response_42 (随机接取日常任务)
Response_43 (随机接取日常任务)
Response_44 (完成任务)
Response_45 (随机接取日常任务)
Response_46 (随机接取日常任务)
Response_47 (完成任务)
Response_48 (随机接取日常任务)
Response_49 (随机接取日常任务)
Response_50 (完成任务)
Response_51 (随机接取日常任务)
Response_52 (随机接取日常任务)
Response_53 (完成任务)
Response_54 (随机接取日常任务)
Response_55 (随机接取日常任务)
Response_56 (完成任务)
Response_57 (随机接取日常任务)
Response_58 (随机接取日常任务)
Response_59 (完成任务)
Response_60 (随机接取日常任务)
Response_61 (随机接取日常任务)
Response_62 (完成任务)
