GUID 43a0f79b73b143ef9fcffa1b92b119ff
Type Storage
Rarity Epic
Useable Barricade

Has_Clip_Prefab False

Build Storage
ID 59374



Size_X 3
Size_Y 2
Size_Z 0.64
Health 300

Storage_X 6
Storage_Y 6

Range 4
Radius 0.27
Offset 0.315

Explosion 36

Vulnerable

Use_Auto_Icon_Measurements False

PlacementAudioClip Sounds/MetalPlacement.mp3

Salvage_Duration_Multiplier 0.1

Bypass_Pickup_Ownership True

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 73
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 75
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 68
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Product 59374
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
