GUID dccf9c193f56468b88675a219ab8cd0c
Type Storage
Rarity Legendary
Useable Barricade

Has_Clip_Prefab False

Build Storage
ID 59375

Size_X 3
Size_Y 2
Size_Z 0.46

Storage_X 14
Storage_Y 30

Health 300

Range 4
Radius 0.24
Offset 0.255

Explosion 36

Vulnerable

Use_Auto_Icon_Measurements False

PlacementAudioClip Sounds/MetalPlacement.mp3

Salvage_Duration_Multiplier 0.1

Bypass_Pickup_Ownership True

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 49101
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Supply_1_ID 141
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 138
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_3_ID 69
Blueprint_0_Supply_3_Amount 5
Blueprint_0_Supply_4_ID 70
Blueprint_0_Supply_4_Amount 5
Blueprint_0_Product 59375
Blueprint_0_Products 1
Blueprint_0_Build 27
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
