GUID e2c40cf2de454568a3dedf0925e48d04
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 10728

Sight 1301
Magazine 10030

Should_Delete_Empty_Magazines true

Ammo_Min 0
Ammo_Max 15

Auto

Caliber 10029

Range 600
Ballistic_Steps 100
Ballistic_Travel 6
Ballistic_Drop 0.0001

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.66
Damage_Falloff_Multiplier 0.6

Firerate 6
Action Trigger

Player_Damage 65
Player_Leg_Multiplier 0.33
Player_Arm_Multiplier 0.33
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2

Zombie_Damage 65
Zombie_Leg_Multiplier 0.33
Zombie_Arm_Multiplier 0.33
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 65
Animal_Leg_Multiplier 0.33
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 111
Object_Damage 90

Aim_In_Duration 0.3
Spread_Aim 0.01
Spread_Hip 0.05

Recoil_Min_X -0.2
Recoil_Min_Y 0.4
Recoil_Max_X 0.2
Recoil_Max_Y 0.6

Recover_X 0.5
Recover_Y 0.5

Muzzle 19058

Shell 19005

Gunshot_Rolloff_Distance 300

Player_Damage_Bleeding Always

Reload_Time 8
Turret
