GUID 8f05a6c4255d43ad9eee6441afba87f3
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 23726

Size_X 5
Size_Y 2
Size_Z 0.45
Size2_Z 0.9

Sight 21
Magazine 23727
Grip 143

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 3
Ammo_Max 10

Safety
Semi

Attachment_Calibers 1
Attachment_Caliber_0 12
Magazine_Calibers 1
Magazine_Caliber_0 302

Range 1000
Firerate 50
Action Bolt

Player_Damage 90
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 400
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.3

Animal_Damage 300
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 70
Structure_Damage 70
Vehicle_Damage 70
Resource_Damage 50
Object_Damage 90

Durability 1
Wear 3

Spread_Aim 0.001
Spread_Hip 0.35

Ballistic_Steps 24

Recoil_Aim 0.25
Recoil_Min_X -4
Recoil_Min_Y 25
Recoil_Max_X -5
Recoil_Max_Y 30

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 23726
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Exclude_From_Master_Bundle
