GUID 601d74dd03884bea8049ecf36205cc83
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 24323

Size_X 4
Size_Y 2
Size_Z 0.4
Size2_Z 0.725

Magazine 24324

Hook_Tactical
Hook_Barrel

Ammo_Min 13
Ammo_Max 26

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 12
Magazine_Calibers 1
Magazine_Caliber_0 407

Range 150
Firerate 7
Action Trigger

Player_Damage 65
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 135
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 93
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 40
Resource_Damage 30
Object_Damage 35

Durability 0.25

Spread_Aim 0.005
Spread_Hip 0.4

Recoil_Aim 0.75
Recoil_Min_X 0
Recoil_Min_Y 3
Recoil_Max_X 1
Recoil_Max_Y 7

Recover_X 0.3
Recover_Y 0.75

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Can_Use_Underwater True

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 24323
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 2

Exclude_From_Master_Bundle
