GUID 96cab410e7ea46a4a77d5dec86115f14
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 24394

Size_X 4
Size_Y 2
Size_Z 0.375
Size2_Z 0.6

Magazine 24395

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 10
Ammo_Max 30

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 12
Magazine_Calibers 1
Magazine_Caliber_0 405

Range 150
Firerate 6
Action Trigger

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.3

Zombie_Damage 135
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.1

Animal_Damage 110
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15
Object_Damage 25

Durability 0.15

Spread_Aim 0.025
Spread_Hip 0.2

Recoil_Min_X 0.1	
Recoil_Min_Y 1
Recoil_Max_X 0.4
Recoil_Max_Y 3

Recover_X 0.7
Recover_Y 0.5

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 24395
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 2

Exclude_From_Master_Bundle
