GUID 65e4239e453f4ff4af5374faf0a3dad1
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 24332

Size_X 5
Size_Y 2
Size_Z 0.375
Size2_Z 0.6

Sight 124
Magazine 24374
Grip 24333

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 19
Ammo_Max 45

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 9
Magazine_Calibers 1
Magazine_Caliber_0 405

Range 160
Firerate 5
Action Trigger

Player_Damage 43
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1.1
Player_Skull_Multiplier 1.3

Zombie_Damage 180
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.4
Zombie_Spine_Multiplier 1.1
Zombie_Skull_Multiplier 1.1

Animal_Damage 119
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15
Object_Damage 25

Durability 0.25

Spread_Aim 0.033
Spread_Hip 0.3

Recoil_Min_X 0
Recoil_Min_Y 3
Recoil_Max_X 1
Recoil_Max_Y 5

Recover_X 0.7
Recover_Y 0.5

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 24332
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 3
Blueprint_1_Output_1_ID 61
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27

Exclude_From_Master_Bundle
