GUID fe80882eb29a4e5c97f3dc85e6ee6421
Type Gun
Rarity Rare
Useable Gun
Slot Any
ID 24461

Size_X 2
Size_Y 1
Size_Z 0.15

Sight 24568
Tactical 1008

Ammo_Min 0
Ammo_Max 0

Safety
Semi

Caliber 449

Range 5000
Firerate 100
Action Trigger

Player_Damage 0
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.3

Zombie_Damage 0
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 0
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0

Durability 0.15

Spread_Aim 0.025
Spread_Hip 0.2

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 0
Recover_Y 0

Shake_Min_X 0
Shake_Min_Y 0
Shake_Min_Z 0
Shake_Max_X 0
Shake_Max_Y 0
Shake_Max_Z 0

Muzzle 0

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 24461
Blueprint_0_Product 67
Blueprint_0_Build 27

Exclude_From_Master_Bundle
