GUID a09c3d11fdaa4eb9a3103db53dea908e
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 24357

Size_X 4
Size_Y 2
Size_Z 0.35
Size2_Z 0.525

Sight 24359
Magazine 24358

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 10
Ammo_Max 20

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 414

Magazine_Calibers 2
Magazine_Caliber_0 414
Magazine_Caliber_1 435

Range 200
Firerate 8
Action Trigger

Player_Damage 70
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 125
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.2

Animal_Damage 115
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 40
Resource_Damage 20
Object_Damage 35

Invulnerability

Durability 0.2

Spread_Aim 0.0375
Spread_Hip 0.15

Recoil_Min_X 0
Recoil_Min_Y 5
Recoil_Max_X 1
Recoil_Max_Y 10

Recover_X 0.2
Recover_Y 0.2

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.0075
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.0125

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 24357
Blueprint_1_Product 67
Blueprint_1_Products 4
Blueprint_1_Build 27

Exclude_From_Master_Bundle
