GUID ae58b693dba04892954f8dba5e8fd22d
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 24305

Size_X 4
Size_Y 2
Size_Z 0.45
Size2_Z 0.85

Magazine 113

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 3
Ammo_Max 8

Safety
Semi

Caliber 8

Range 150
Firerate 40
Action Pump

Player_Damage 40
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.4
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 59
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 10
Structure_Damage 7
Vehicle_Damage 10
Resource_Damage 10
Object_Damage 12

Durability 0.25

Spread_Aim 0.8
Spread_Hip 0.1

Ballistic_Steps 1

Recoil_Min_X 0
Recoil_Min_Y 45
Recoil_Max_X 20
Recoil_Max_Y 60

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 24305
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Exclude_From_Master_Bundle
