GUID 7447d6405fa24368971a30a2e04ddd8e
Type Magazine
Rarity Legendary
ID 24358

Size_X 1
Size_Y 2
Size_Z 0.2

Amount 20
Count_Min 6
Count_Max 20

Calibers 1
Caliber_0 414

Tracer 48

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 1193
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 24358
Blueprint_1_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 24418
Blueprint_2_Build 30

Paintable

Exclude_From_Master_Bundle
