// Made in NPC Maker by BowieD
GUID 1e1d89dc04184abb93518b4ef0a6d493
Type Vendor
ID 11383
Buying 3
Buying_0_ID 81
Buying_0_Cost 40
Buying_1_ID 1271
Buying_1_Cost 120
Buying_2_ID 73
Buying_2_Cost 70
Selling 26
Selling_0_ID 1171
Selling_0_Cost 350
Selling_1_ID 1172
Selling_1_Cost 350
Selling_2_ID 1169
Selling_2_Cost 420
Selling_3_ID 1170
Selling_3_Cost 800
Selling_4_ID 116
Selling_4_Cost 1100
Selling_5_ID 3002
Selling_5_Cost 720
Selling_6_ID 3043
Selling_6_Cost 860
Selling_7_ID 3004
Selling_7_Cost 150
Selling_8_ID 24394
Selling_8_Cost 1250
Selling_9_ID 24395
Selling_9_Cost 758
Selling_10_ID 1800
Selling_10_Cost 1840
Selling_11_ID 24357
Selling_11_Cost 1720
Selling_12_ID 24418
Selling_12_Cost 630
Selling_13_ID 24358
Selling_13_Cost 960
Selling_14_ID 24377
Selling_14_Cost 2355
Selling_15_ID 24378
Selling_15_Cost 800
Selling_16_ID 24500
Selling_16_Cost 2135
Selling_17_ID 24501
Selling_17_Cost 430
Selling_18_ID 24502
Selling_18_Cost 860
Selling_19_ID 235
Selling_19_Cost 650
Selling_20_ID 236
Selling_20_Cost 650
Selling_21_ID 237
Selling_21_Cost 400
Selling_22_ID 238
Selling_22_Cost 700
Selling_23_ID 24461
Selling_23_Cost 388
Selling_24_ID 24393
Selling_24_Cost 978
Selling_25_ID 1271
Selling_25_Cost 450
