// Made in NPC Maker by BowieD
GUID 2b0d100950e24cafa0b43decd4596848
Type Vendor
ID 12383
Buying 6
Buying_0_ID 1366
Buying_0_Cost 85
Buying_1_ID 1170
Buying_1_Cost 140
Buying_2_ID 17
Buying_2_Cost 75
Buying_3_ID 1101
Buying_3_Cost 75
Buying_4_ID 28
Buying_4_Cost 125
Buying_5_ID 97
Buying_5_Cost 45
Selling 7
Selling_0_ID 1176
Selling_0_Cost 500
Selling_1_ID 1406
Selling_1_Cost 90
Selling_2_ID 140
Selling_2_Cost 90
Selling_3_ID 35438
Selling_3_Cost 35
Selling_4_ID 35437
Selling_4_Cost 50
Selling_5_ID 35435
Selling_5_Cost 76
Selling_6_ID 35436
Selling_6_Cost 76
