// Made in NPC Maker by BowieD
GUID 4386334f3514432d9064bda33ff8b24c
Type Vendor
ID 11833
Buying 4
Buying_0_ID 67
Buying_0_Cost 13
Buying_1_ID 1445
Buying_1_Cost 100
Buying_2_ID 395
Buying_2_Cost 175
Buying_3_ID 15
Buying_3_Cost 300
Selling 11
Selling_0_ID 93
Selling_0_Cost 30
Selling_1_ID 94
Selling_1_Cost 45
Selling_2_ID 13
Selling_2_Cost 30
Selling_3_ID 88
Selling_3_Cost 40
Selling_4_ID 79
Selling_4_Cost 40
Selling_5_ID 90
Selling_5_Cost 40
Selling_6_ID 88
Selling_6_Cost 40
Selling_7_ID 77
Selling_7_Cost 45
Selling_8_ID 87
Selling_8_Cost 50
Selling_9_ID 469
Selling_9_Cost 50
Selling_10_ID 89
Selling_10_Cost 56
