// Made in NPC Maker by BowieD
GUID 53ce214cd9e3410fabdd211874eabc3f
Type Vendor
ID 11963
Buying 1
Buying_0_ID 67
Buying_0_Cost 16
Selling 13
Selling_0_ID 24368
Selling_0_Cost 1750
Selling_1_ID 24430
Selling_1_Cost 900
Selling_2_ID 3033
Selling_2_Cost 950
Selling_3_ID 3035
Selling_3_Cost 340
Selling_4_ID 15554
Selling_4_Cost 650
Selling_5_ID 24369
Selling_5_Cost 610
Selling_6_ID 1271
Selling_6_Cost 300
Selling_7_ID 253
Selling_7_Cost 950
Selling_8_ID 35452
Selling_8_Cost 3000
Selling_9_ID 35454
Selling_9_Cost 980
Selling_10_ID 35450
Selling_10_Cost 3500
Selling_11_ID 35453
Selling_11_Cost 4000
Selling_12_ID 35451
Selling_12_Cost 3500
