// Made in NPC Maker by BowieD
GUID 567362bca3c24e82b4851ecbd2bc671c
Type Vendor
ID 11973
Buying 1
Buying_0_ID 67
Buying_0_Cost 13
Selling 31
Selling_0_ID 24403
Selling_0_Cost 760
Selling_1_ID 24386
Selling_1_Cost 1190
Selling_2_ID 24332
Selling_2_Cost 1495
Selling_3_ID 24428
Selling_3_Cost 920
Selling_4_ID 24518
Selling_4_Cost 1885
Selling_5_ID 24366
Selling_5_Cost 1200
Selling_6_ID 24404
Selling_6_Cost 450
Selling_7_ID 24356
Selling_7_Cost 75
Selling_8_ID 24353
Selling_8_Cost 300
Selling_9_ID 24374
Selling_9_Cost 390
Selling_10_ID 24481
Selling_10_Cost 480
Selling_11_ID 24473
Selling_11_Cost 685
Selling_12_ID 24367
Selling_12_Cost 225
Selling_13_ID 24317
Selling_13_Cost 450
Selling_14_ID 24571
Selling_14_Cost 250
Selling_15_ID 24570
Selling_15_Cost 200
Selling_16_ID 35472
Selling_16_Cost 200
Selling_17_ID 35474
Selling_17_Cost 920
Selling_18_ID 35470
Selling_18_Cost 500
Selling_19_ID 35473
Selling_19_Cost 550
Selling_20_ID 35471
Selling_20_Cost 500
Selling_21_ID 35486
Selling_21_Cost 240
Selling_22_ID 35488
Selling_22_Cost 950
Selling_23_ID 35484
Selling_23_Cost 420
Selling_24_ID 35487
Selling_24_Cost 500
Selling_25_ID 35485
Selling_25_Cost 420
Selling_26_ID 35462
Selling_26_Cost 250
Selling_27_ID 35464
Selling_27_Cost 965
Selling_28_ID 35460
Selling_28_Cost 420
Selling_29_ID 35463
Selling_29_Cost 500
Selling_30_ID 35461
Selling_30_Cost 420
