// Made in NPC Maker by BowieD
GUID 8d21bee266f44f5285fdef9de7896a64
Type Vendor
ID 12073
Buying 1
Buying_0_ID 67
Buying_0_Cost 10
Selling 45
Selling_0_ID 3097
Selling_0_Cost 260
Selling_1_ID 301
Selling_1_Cost 40
Selling_2_ID 1443
Selling_2_Cost 900
Selling_3_ID 520
Selling_3_Cost 400
Selling_4_ID 3054
Selling_4_Cost 220
Selling_5_ID 3055
Selling_5_Cost 620
Selling_6_ID 1006
Selling_6_Cost 350
Selling_7_ID 1200
Selling_7_Cost 250
Selling_8_ID 3121
Selling_8_Cost 190
Selling_9_ID 3110
Selling_9_Cost 160
Selling_10_ID 3051
Selling_10_Cost 320
Selling_11_ID 1302
Selling_11_Cost 480
Selling_12_ID 1395
Selling_12_Cost 550
Selling_13_ID 3047
Selling_13_Cost 550
Selling_14_ID 3048
Selling_14_Cost 650
Selling_15_ID 3113
Selling_15_Cost 510
Selling_16_ID 3057
Selling_16_Cost 250
Selling_17_ID 3062
Selling_17_Cost 40
Selling_18_ID 3063
Selling_18_Cost 50
Selling_19_ID 3064
Selling_19_Cost 60
Selling_20_ID 3065
Selling_20_Cost 60
Selling_21_ID 3091
Selling_21_Cost 200
Selling_22_ID 3090
Selling_22_Cost 150
Selling_23_ID 3124
Selling_23_Cost 450
Selling_24_ID 3501
Selling_24_Cost 1200
Selling_25_ID 1132
Selling_25_Cost 80
Selling_26_ID 1271
Selling_26_Cost 300
Selling_27_ID 1525
Selling_27_Cost 450
Selling_28_ID 3069
Selling_28_Cost 380
Selling_29_ID 3125
Selling_29_Cost 190
Selling_30_ID 1485
Selling_30_Cost 680
Selling_31_ID 1193
Selling_31_Cost 400
Selling_32_ID 3014
Selling_32_Cost 240
Selling_33_ID 3108
Selling_33_Cost 600
Selling_34_ID 3023
Selling_34_Cost 500
Selling_35_ID 3052
Selling_35_Cost 850
Selling_36_ID 3041
Selling_36_Cost 700
Selling_37_ID 3045
Selling_37_Cost 920
Selling_38_ID 3111
Selling_38_Cost 1120
Selling_39_ID 3093
Selling_39_Cost 2050
Selling_40_ID 3116
Selling_40_Cost 2350
Selling_41_ID 3095
Selling_41_Cost 2050
Selling_42_ID 3094
Selling_42_Cost 2740
Selling_43_ID 3072
Selling_43_Cost 2990
Selling_44_ID 3056
Selling_44_Cost 7500
