// Made in NPC Maker by BowieD
GUID ad068bb68b1b4a2586b3d3631f7bdebc
Type Vendor
ID 11293
Buying 10
Buying_0_ID 81
Buying_0_Cost 150
Buying_1_ID 1351
Buying_1_Cost 30
Buying_2_ID 1120
Buying_2_Cost 60
Buying_3_ID 88
Buying_3_Cost 20
Buying_4_ID 13
Buying_4_Cost 20
Buying_5_ID 89
Buying_5_Cost 30
Buying_6_ID 90
Buying_6_Cost 20
Buying_7_ID 1403
Buying_7_Cost 30
Buying_8_ID 467
Buying_8_Cost 65
Buying_9_ID 461
Buying_9_Cost 70
Selling 11
Selling_0_ID 15
Selling_0_Cost 175
Selling_1_ID 95
Selling_1_Cost 35
Selling_2_ID 96
Selling_2_Cost 150
Selling_3_ID 269
Selling_3_Cost 175
Selling_4_ID 388
Selling_4_Cost 125
Selling_5_ID 392
Selling_5_Cost 80
Selling_6_ID 395
Selling_6_Cost 92
Selling_7_ID 404
Selling_7_Cost 85
Selling_8_ID 1129
Selling_8_Cost 100
Selling_9_ID 1199
Selling_9_Cost 125
Selling_10_ID 190
Selling_10_Cost 50
