// Made in NPC Maker by BowieD
GUID bc0ea8c8866b4a929ab77ee66bc5e51e
Type Vendor
ID 11683
Buying 15
Buying_0_ID 67
Buying_0_Cost 7
Buying_1_ID 70
Buying_1_Cost 5
Buying_2_ID 71
Buying_2_Cost 6
Buying_3_ID 68
Buying_3_Cost 14
Buying_4_ID 74
Buying_4_Cost 7
Buying_5_ID 121
Buying_5_Cost 10
Buying_6_ID 144
Buying_6_Cost 40
Buying_7_ID 513
Buying_7_Cost 25
Buying_8_ID 28
Buying_8_Cost 320
Buying_9_ID 1440
Buying_9_Cost 750
Buying_10_ID 1176
Buying_10_Cost 120
Buying_11_ID 1036
Buying_11_Cost 140
Buying_12_ID 490
Buying_12_Cost 100
Buying_13_ID 2020
Buying_13_Cost 350
Buying_14_ID 253
Buying_14_Cost 225
Selling 44
Selling_0_ID 67
Selling_0_Cost 60
Selling_1_ID 3119
Selling_1_Cost 200
Selling_2_ID 146
Selling_2_Cost 140
Selling_3_ID 148
Selling_3_Cost 130
Selling_4_ID 209
Selling_4_Cost 250
Selling_5_ID 247
Selling_5_Cost 130
Selling_6_ID 275
Selling_6_Cost 28
Selling_7_ID 337
Selling_7_Cost 220
Selling_8_ID 1397
Selling_8_Cost 100
Selling_9_ID 1512
Selling_9_Cost 180
Selling_10_ID 1513
Selling_10_Cost 180
Selling_11_ID 1514
Selling_11_Cost 180
Selling_12_ID 1515
Selling_12_Cost 180
Selling_13_ID 3039
Selling_13_Cost 490
Selling_14_ID 3012
Selling_14_Cost 475
Selling_15_ID 3078
Selling_15_Cost 580
Selling_16_ID 3123
Selling_16_Cost 650
Selling_17_ID 3005
Selling_17_Cost 280
Selling_18_ID 3120
Selling_18_Cost 8
Selling_19_ID 3006
Selling_19_Cost 7
Selling_20_ID 3081
Selling_20_Cost 220
Selling_21_ID 3115
Selling_21_Cost 250
Selling_22_ID 3001
Selling_22_Cost 180
Selling_23_ID 35018
Selling_23_Cost 135
Selling_24_ID 35019
Selling_24_Cost 90
Selling_25_ID 35020
Selling_25_Cost 135
Selling_26_ID 35021
Selling_26_Cost 136
Selling_27_ID 35000
Selling_27_Cost 110
Selling_28_ID 35002
Selling_28_Cost 110
Selling_29_ID 35003
Selling_29_Cost 260
Selling_30_ID 35026
Selling_30_Cost 390
Selling_31_ID 35027
Selling_31_Cost 390
Selling_32_ID 35028
Selling_32_Cost 450
Selling_33_ID 35012
Selling_33_Cost 385
Selling_34_ID 35013
Selling_34_Cost 385
Selling_35_ID 35014
Selling_35_Cost 420
Selling_36_ID 333
Selling_36_Cost 125
Selling_37_ID 24329
Selling_37_Cost 395
Selling_38_ID 24420
Selling_38_Cost 790
Selling_39_ID 24508
Selling_39_Cost 376
Selling_40_ID 24321
Selling_40_Cost 420
Selling_41_ID 24509
Selling_41_Cost 180
Selling_42_ID 24330
Selling_42_Cost 145
Selling_43_ID 3040
Selling_43_Cost 290
