// Made in NPC Maker by BowieD
GUID f1d42b1c37ea4fc88a7e92d29b72b5ae
Type Vendor
ID 11283
Buying 61
Buying_0_ID 81
Buying_0_Cost 40
Buying_1_ID 1351
Buying_1_Cost 30
Buying_2_ID 1120
Buying_2_Cost 15
Buying_3_ID 88
Buying_3_Cost 20
Buying_4_ID 13
Buying_4_Cost 15
Buying_5_ID 89
Buying_5_Cost 30
Buying_6_ID 90
Buying_6_Cost 10
Buying_7_ID 78
Buying_7_Cost 30
Buying_8_ID 77
Buying_8_Cost 30
Buying_9_ID 79
Buying_9_Cost 30
Buying_10_ID 1117
Buying_10_Cost 30
Buying_11_ID 505
Buying_11_Cost 25
Buying_12_ID 514
Buying_12_Cost 40
Buying_13_ID 67
Buying_13_Cost 5
Buying_14_ID 44
Buying_14_Cost 30
Buying_15_ID 119
Buying_15_Cost 40
Buying_16_ID 43
Buying_16_Cost 40
Buying_17_ID 15
Buying_17_Cost 40
Buying_18_ID 7
Buying_18_Cost 45
Buying_19_ID 144
Buying_19_Cost 45
Buying_20_ID 149
Buying_20_Cost 45
Buying_21_ID 150
Buying_21_Cost 45
Buying_22_ID 1190
Buying_22_Cost 45
Buying_23_ID 1191
Buying_23_Cost 45
Buying_24_ID 8
Buying_24_Cost 35
Buying_25_ID 143
Buying_25_Cost 35
Buying_26_ID 145
Buying_26_Cost 35
Buying_27_ID 6
Buying_27_Cost 25
Buying_28_ID 123
Buying_28_Cost 25
Buying_29_ID 21
Buying_29_Cost 45
Buying_30_ID 153
Buying_30_Cost 45
Buying_31_ID 296
Buying_31_Cost 45
Buying_32_ID 22
Buying_32_Cost 45
Buying_33_ID 146
Buying_33_Cost 45
Buying_34_ID 147
Buying_34_Cost 45
Buying_35_ID 148
Buying_35_Cost 45
Buying_36_ID 1004
Buying_36_Cost 35
Buying_37_ID 1201
Buying_37_Cost 85
Buying_38_ID 151
Buying_38_Cost 45
Buying_39_ID 152
Buying_39_Cost 45
Buying_40_ID 1007
Buying_40_Cost 45
Buying_41_ID 1008
Buying_41_Cost 55
Buying_42_ID 254
Buying_42_Cost 35
Buying_43_ID 1346
Buying_43_Cost 35
Buying_44_ID 334
Buying_44_Cost 115
Buying_45_ID 1250
Buying_45_Cost 125
Buying_46_ID 28
Buying_46_Cost 327
Buying_47_ID 1440
Buying_47_Cost 720
Buying_48_ID 4
Buying_48_Cost 240
Buying_49_ID 116
Buying_49_Cost 620
Buying_50_ID 122
Buying_50_Cost 250
Buying_51_ID 129
Buying_51_Cost 560
Buying_52_ID 132
Buying_52_Cost 800
Buying_53_ID 297
Buying_53_Cost 670
Buying_54_ID 488
Buying_54_Cost 350
Buying_55_ID 519
Buying_55_Cost 1050
Buying_56_ID 1360
Buying_56_Cost 190
Buying_57_ID 1362
Buying_57_Cost 500
Buying_58_ID 1364
Buying_58_Cost 990
Buying_59_ID 1369
Buying_59_Cost 240
Buying_60_ID 1377
Buying_60_Cost 515
Selling 34
Selling_0_ID 1171
Selling_0_Cost 190
Selling_1_ID 1172
Selling_1_Cost 190
Selling_2_ID 122
Selling_2_Cost 400
Selling_3_ID 14
Selling_3_Cost 40
Selling_4_ID 76
Selling_4_Cost 300
Selling_5_ID 381
Selling_5_Cost 20
Selling_6_ID 44
Selling_6_Cost 40
Selling_7_ID 119
Selling_7_Cost 70
Selling_8_ID 43
Selling_8_Cost 70
Selling_9_ID 27138
Selling_9_Cost 120
Selling_10_ID 1192
Selling_10_Cost 180
Selling_11_ID 1193
Selling_11_Cost 180
Selling_12_ID 87
Selling_12_Cost 60
Selling_13_ID 464
Selling_13_Cost 25
Selling_14_ID 1438
Selling_14_Cost 40
Selling_15_ID 3512
Selling_15_Cost 420
Selling_16_ID 3513
Selling_16_Cost 220
Selling_17_ID 1007
Selling_17_Cost 90
Selling_18_ID 3118
Selling_18_Cost 450
Selling_19_ID 3036
Selling_19_Cost 425
Selling_20_ID 24457
Selling_20_Cost 225
Selling_21_ID 24303
Selling_21_Cost 230
Selling_22_ID 24302
Selling_22_Cost 158
Selling_23_ID 24340
Selling_23_Cost 120
Selling_24_ID 24445
Selling_24_Cost 3400
Selling_25_ID 3038
Selling_25_Cost 160
Selling_26_ID 24458
Selling_26_Cost 150
Selling_27_ID 24341
Selling_27_Cost 60
Selling_28_ID 24446
Selling_28_Cost 250
Selling_29_ID 24304
Selling_29_Cost 100
Selling_30_ID 35481
Selling_30_Cost 690
Selling_31_ID 35479
Selling_31_Cost 610
Selling_32_ID 35482
Selling_32_Cost 720
Selling_33_ID 35480
Selling_33_Cost 610
Currency 5150ca8f765d4a68bfe54912146da410
